city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,Mount Gambier,-37.8333,140.7667,51.71,82,100,14.97,AU,6/22/21 2:45
150,Shemonaikha,50.6328,81.9056,53.44,81,68,11.52,KZ,6/22/21 2:45
151,Pueblo Nuevo,23.3833,-105.3833,61.02,95,100,3.11,MX,6/22/21 2:45
152,Dewa,27.0333,81.1667,86,62,21,4.85,IN,6/22/21 2:45
153,Hami,42.8,93.45,84.24,17,100,1.23,CN,6/22/21 2:45
154,Eyl,7.9803,49.8164,77.27,73,33,17.29,SO,6/22/21 2:45
155,Dicabisagan,17.0818,122.4157,89.56,62,100,7.18,PH,6/22/21 2:45
156,Shimoda,34.6667,138.95,77.11,71,58,11.56,JP,6/22/21 2:45
157,Solnechnyy,50.7214,136.6319,78.6,41,100,6.46,RU,6/22/21 2:45
158,Bereda,43.2686,-7.5406,56.14,100,100,1.68,ES,6/22/21 2:45
159,Menongue,-14.6585,17.691,46.26,58,36,4.79,AO,6/22/21 2:45
160,Bandarbeyla,9.4942,50.8122,76.8,80,15,22.01,SO,6/22/21 2:45
161,Arzgir,45.3728,44.2206,76.96,41,1,15.9,RU,6/22/21 2:45
162,Leningradskiy,69.3833,178.4167,48.18,61,16,11.99,RU,6/22/21 2:45
163,Semnan,35.5729,53.3971,79.12,19,0,1.77,IR,6/22/21 2:45
164,Visakhapatnam,17.69,83.2093,85.89,70,100,10.36,IN,6/22/21 2:45
165,Lazaro Cardenas,17.9583,-102.2,80.96,83,77,6.02,MX,6/22/21 2:45
166,Kyzyl-Suu,42.3414,78.0056,59.85,57,53,6.76,KG,6/22/21 2:45
167,Muros,42.7762,-9.0603,59.99,92,83,10.25,ES,6/22/21 2:45
168,Hobyo,5.3505,48.5268,76.1,85,49,21.47,SO,6/22/21 2:45
169,Severo-Kurilsk,50.6789,156.125,48.99,76,31,9.31,RU,6/22/21 2:45
170,Sawai Madhopur,25.9833,76.3667,93.15,37,15,15.21,IN,6/22/21 2:45
171,Ust-Kulom,61.6864,53.6902,65.52,76,21,4.65,RU,6/22/21 2:45
172,Tianpeng,30.9866,103.9393,84.67,63,100,2.89,CN,6/22/21 2:45
173,Bambous Virieux,-20.3428,57.7575,68.25,68,75,8.05,MU,6/22/21 2:45
174,Kavieng,-2.5744,150.7967,85.5,68,37,14.83,PG,6/22/21 2:45
175,Lesnyye Polyany,55.9667,37.8667,73.17,81,91,3.83,RU,6/22/21 2:45
176,Mandalgovi,45.7625,106.2708,71.22,39,100,16.84,MN,6/22/21 2:45
177,Luderitz,-26.6481,15.1594,59.41,79,0,7.31,NA,6/22/21 2:45
178,Port-Gentil,-0.7193,8.7815,76.84,86,100,13.87,GA,6/22/21 2:45
179,Iqaluit,63.7506,-68.5145,33.53,86,75,28.99,CA,6/22/21 2:44
180,Whyalla,-33.0333,137.5833,58.89,55,100,11.5,AU,6/22/21 2:45
181,Webuye,0.6075,34.7697,55.18,89,0,4.9,KE,6/22/21 2:45
182,Springbok,-29.6643,17.8865,51.08,54,0,4.16,ZA,6/22/21 2:45
183,Talnakh,69.4865,88.3972,39.79,88,100,11.83,RU,6/22/21 2:45
184,Whitehorse,60.7161,-135.0538,60.03,44,75,15.99,CA,6/22/21 2:42
185,Dalby,-27.1833,151.2667,70.99,41,4,3,AU,6/22/21 2:45
186,Pisco,-13.7,-76.2167,64.45,82,90,10.36,PE,6/22/21 2:44
187,Saldanha,-33.0117,17.9442,60.85,89,73,17.29,ZA,6/22/21 2:45
188,Sur,22.5667,59.5289,90.57,43,0,5.32,OM,6/22/21 2:45
189,Shangrao,28.4532,117.9686,75.2,73,100,7.67,CN,6/22/21 2:45
190,Boueni,-12.9025,45.0761,76.98,70,58,18.9,YT,6/22/21 2:46
191,Chingola,-12.529,27.8838,47.84,85,24,4.92,ZM,6/22/21 2:46
192,Kahului,20.8947,-156.47,86.02,70,20,21.85,US,6/22/21 2:45
193,Vulcan,45.3833,23.2667,59.47,95,75,2.26,RO,6/22/21 2:46
194,Coffs Harbour,-30.3,153.1333,66.47,65,15,12.66,AU,6/22/21 2:46
195,Ambulu,-8.345,113.6058,82.74,69,80,3.36,ID,6/22/21 2:46
196,Brae,60.3964,-1.353,48.11,80,3,8.61,GB,6/22/21 2:46
197,Quesnel,52.9999,-122.5029,86.5,28,1,3.44,CA,6/22/21 2:44
198,Rangapara,26.8167,92.65,85.15,79,30,4.14,IN,6/22/21 2:46
199,Bethel,41.3712,-73.414,75.49,84,84,1.01,US,6/22/21 2:46
200,Bathsheba,13.2167,-59.5167,81.21,65,40,17.27,BB,6/22/21 2:46
201,Layou,13.2,-61.2667,78.28,78,29,13.82,VC,6/22/21 2:46
202,Terra Santa,-2.1042,-56.4869,74.19,78,2,2.37,BR,6/22/21 2:46
203,Ziro,27.6333,93.8333,66.51,85,94,0.43,IN,6/22/21 2:46
204,Mokhsogollokh,61.4681,128.9203,90.03,21,53,6.6,RU,6/22/21 2:46
205,Westport,41.1415,-73.3579,77.94,89,1,1.99,US,6/22/21 2:46
206,Manavalakurichi,8.1333,77.3,82.49,78,52,16.31,IN,6/22/21 2:46
207,Inta,66.0317,60.1659,54.79,59,56,7.94,RU,6/22/21 2:46
208,Hasaki,35.7333,140.8333,83.17,74,70,9.66,JP,6/22/21 2:46
209,Ciudad Guayana,8.3533,-62.6528,77.52,92,100,4.59,VE,6/22/21 2:46
210,New Norfolk,-42.7826,147.0587,50.92,64,100,1.92,AU,6/22/21 2:46
211,Nizhniy Kuranakh,58.8353,125.4869,82.26,45,7,3.24,RU,6/22/21 2:46
