City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
104,Coquimbo,CL,2021-06-22 03:38:28,-29.9533,-71.3436,47.93,76,0,4.61,clear sky,0,0
105,Menongue,AO,2021-06-22 03:40:10,-14.6585,17.691,45.45,60,30,4.83,scattered clouds,0,0
106,Yellowknife,CA,2021-06-22 03:37:44,62.456,-114.3525,66.72,34,75,5.75,broken clouds,0,0
107,Bluff,NZ,2021-06-22 03:37:54,-46.6,168.3333,48.79,74,80,18.7,broken clouds,0,0
108,Kulhudhuffushi,MV,2021-06-22 03:40:11,6.6221,73.07,82.11,78,19,15.55,few clouds,0,0
109,Barrow,US,2021-06-22 03:37:35,71.2906,-156.7887,41.02,65,1,8.05,clear sky,0,0
110,Vuktyl,RU,2021-06-22 03:40:11,63.8567,57.3094,53.92,63,100,3.33,overcast clouds,0,0
111,Rio Grande,BR,2021-06-22 03:39:15,-32.035,-52.0986,51.94,94,41,6.29,scattered clouds,0,0
112,Bethel,US,2021-06-22 03:38:18,41.3712,-73.414,74.25,86,40,5.75,light rain,0,0
113,Saint George,US,2021-06-22 03:38:31,37.1041,-113.5841,99.19,10,1,9.22,clear sky,0,0
114,Carmo Do Rio Verde,BR,2021-06-22 03:40:11,-15.3536,-49.7075,67.15,51,5,2.46,clear sky,0,0
115,Kushmurun,KZ,2021-06-22 03:37:31,52.4503,64.6311,59.36,60,100,3.31,overcast clouds,0,0
116,Sabang,ID,2021-06-22 03:40:12,5.8933,95.3214,83.26,68,96,17.58,overcast clouds,0,0
117,Le Port,RE,2021-06-22 03:39:14,-20.9373,55.2919,66.2,70,59,4.05,broken clouds,0,0
118,Shaoguan,CN,2021-06-22 03:40:12,24.8,113.5833,89.08,71,98,1.1,moderate rain,0,0
119,San Quintin,MX,2021-06-22 03:40:12,30.4833,-115.95,63.36,87,71,10.63,broken clouds,0,0
120,Kineta,GR,2021-06-22 03:40:13,37.9709,23.2183,76.69,68,11,3.2,few clouds,0,0
121,Alofi,NU,2021-06-22 03:39:30,-19.0595,-169.9187,78.69,65,40,5.75,scattered clouds,0,0
122,Olafsvik,IS,2021-06-22 03:39:40,64.8945,-23.7142,45.73,86,99,15.61,overcast clouds,0,0
123,Nikolskoye,RU,2021-06-22 03:37:55,59.7035,30.7861,76.8,67,6,5.82,clear sky,0,0
124,Puerto Leguizamo,CO,2021-06-22 03:40:13,-0.1934,-74.7819,68.81,99,55,0.2,broken clouds,0,0
125,Namibe,AO,2021-06-22 03:38:38,-15.1961,12.1522,66.88,77,19,7.49,few clouds,0,0
126,Skegness,GB,2021-06-22 03:40:13,53.1436,0.3363,54.57,71,100,17.85,overcast clouds,0,0
127,Mahebourg,MU,2021-06-22 03:37:21,-20.4081,57.7,66.49,88,75,3.44,broken clouds,0,0
128,Taoudenni,ML,2021-06-22 03:40:14,22.6783,-3.9836,93.87,12,0,15.55,clear sky,0,0
129,Tiksi,RU,2021-06-22 03:38:08,71.6872,128.8694,60.98,54,13,5.79,few clouds,0,0
130,Okhotsk,RU,2021-06-22 03:40:14,59.3833,143.3,46.17,90,100,8.3,light rain,0,0
131,Najran,SA,2021-06-22 03:40:14,17.4924,44.1277,79.45,10,20,3.44,few clouds,0,0
132,Port-Gentil,GA,2021-06-22 03:38:40,-0.7193,8.7815,76.91,85,100,14.12,light rain,0,0
133,Porto Velho,BR,2021-06-22 03:38:35,-8.7619,-63.9039,71.65,94,90,2.3,light rain,0,0
134,Esfarayen,IR,2021-06-22 03:40:15,37.0765,57.5101,65.86,14,0,2.8,clear sky,0,0
135,Conceicao Do Araguaia,BR,2021-06-22 03:40:15,-8.2578,-49.2647,75.33,73,0,2.3,clear sky,0,0
136,Saskylakh,RU,2021-06-22 03:37:29,71.9167,114.0833,81.77,38,3,7.96,clear sky,0,0
137,Fengzhen,CN,2021-06-22 03:40:15,40.4394,113.1536,80.6,26,5,6.06,clear sky,0,0
138,Anadyr,RU,2021-06-22 03:40:16,64.75,177.4833,59.5,54,0,8.95,clear sky,0,0
139,Palauig,PH,2021-06-22 03:40:16,15.435,119.9045,84.61,73,100,11.83,overcast clouds,0,0
140,Jilin,CN,2021-06-22 03:40:16,43.0,126.0,71.17,60,44,5.7,scattered clouds,0,0
141,Teguldet,RU,2021-06-22 03:40:16,57.3064,88.1667,62.64,56,100,3.09,overcast clouds,0,0
142,Wanning,CN,2021-06-22 03:38:36,18.8003,110.3967,92.26,58,100,9.24,overcast clouds,0,0
143,Vikulovo,RU,2021-06-22 03:40:17,56.8167,70.6107,57.83,58,31,9.19,scattered clouds,0,0
144,Lensk,RU,2021-06-22 03:40:17,60.7253,114.9278,89.38,24,9,5.19,clear sky,0,0
145,Bac Lieu,VN,2021-06-22 03:40:17,9.285,105.7244,88.5,60,99,11.3,overcast clouds,0,0
146,Shiozawa,JP,2021-06-22 03:40:17,37.0333,138.85,80.87,42,90,0.51,overcast clouds,0,0
147,Ignacio Zaragoza,MX,2021-06-22 03:40:18,28.3833,-107.2167,64.18,64,100,7.11,overcast clouds,0,0
148,Tabuk,PH,2021-06-22 03:40:18,17.4189,121.4443,93.72,43,100,4.94,overcast clouds,0,0
149,Tatebayashi,JP,2021-06-22 03:40:18,36.25,139.5333,85.19,35,89,7.7,overcast clouds,0,0
150,Realeza,BR,2021-06-22 03:40:18,-25.7689,-53.5325,57.16,99,100,0.27,overcast clouds,0,0
